ID,start.time,completion.time,email,sector.of.work,organization.of.work,country.work,Biodiversity and conservation,Natural resources and ecosystem services,Human health and wellbeing,Nature education and recreation,Equity diversity and inclusion and access to nature,Policy,Other,work.,Policy2,Management,Academia,Practictioner,engage.more,scale.engagement,Lack.time.resources,Mandate-recognition,Mandate-funding,Networking,Access and Knowledge,Past negative experiences,Scale mismatch,Lack of interest/not relevant,additional.barriers,stage.barrier,Briefly explain your experience with these barriers,explain.project,markers.success,Existing personal connection,Direct engagement,Funding opportunity,Student research,Place-based engagement,additional.markers.success,change1,feasibility1,change2,feasibility2
11,9-15-23 12:09:32,9-15-23 12:21:41,anonymous,Management,Government,canada,Primary importance,Tertiary importance,Tertiary importance,Tertiary importance,Tertiary importance,,,13,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",no,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Important,Important,Somewhat important,"Bureaucracy of working within the federal government. Evrything is harder with all the forms and processes. Small contractors don't want to wrok with us b/c it can takes months to get them paid And when two fed depts work together, the delay due to Bureaucracy is compounded;","Middle- actively working together, maintaining momentum, logistical issues","Again, to take an idea through to actual action can take years due to government Bureaucracy. Upper managers and executives don't trust middle managers to sign off on projects/funding etc.","Species at Risk work involves all levels of government. Ongoing. NGOs, Municipal, provincial/territorial and federal governments, volunteer organizations, ","Successful implementation (on the ground change or improvement);Media attention or recognition;Community engagement or recognition (event participation, increased visitation, awards);",Very important,Important,Very important,Important,Important,"Mandated by law that Species at Risk have an action plan or recovery plan. i.e., we were forced to do something","Reduce big government, we are overloaded with advisors, middle managers that only slow down processes ",2,"Gov't has barriers to live collaboration. Very difficult to get approval for travel, conferences etc. ",4
12,9-15-23 12:40:42,9-15-23 12:56:35,anonymous,Practictioner,Government,Canada,Primary importance,Primary importance,Secondary importance,Tertiary importance,Secondary importance,Primary importance,,13,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)","Often (e.g., quarterly)",,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Somewhat important,Somewhat important,Somewhat important,Not important,Not important,Important,Not important,,Beginning- getting a project/idea off the ground,It takes time to build the relationships needed to understand if its worth pursuing a project or partnership. Its hard to commit that time without knowing you have a reasonable chance of success. Its easiest to pursue engagement when you have an actual project idea/outline and an understanding that this connects with another persons interests.,"Land cover classification and ecosystem services mapping. Duration - 2 years. Metro Vancouver and University of British Columbia. It began when I approached a professor for information to help with scoping. This grew into a Masters project to complete the work, funded by Metro Vancouver, and additional funding to extend the work. It was a positive collaboration.","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Policy impact (recommendations, proof of concept, policy change, etc.);",Somewhat important,Important,Not important,Important,Not important,"An initial connection through with the UBC professor, made through a session put on by ECCC to bring together people in the MV region working on remote sensing.",Greater resources for academics to attend workshops etc put on by government staff to contribute to projects,3,Grants to allow academics and government to work together. Some exist (e.g. MITACS) but its often hard for us to meet the criteria,4
13,9-15-23 13:00:39,9-15-23 13:14:40,anonymous,Practictioner,,Canada,Primary importance,Primary importance,Secondary importance,Secondary importance,Secondary importance,Secondary importance,,40,Infrequently,Infrequently,Infrequently,"Often (e.g., quarterly)",yes,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Important,Very important,Important,Very important,Important,Very important,Somewhat important,Important,,"Middle- actively working together, maintaining momentum, logistical issues",Government employees are reluctant to share power,,,,,,,,,Greater willingness of government employees to empower non-government experts.,4,Greater willingness of people from outside government to engage government practitioners rather than management.,3
14,9-15-23 13:55:58,9-15-23 14:31:07,anonymous,Policy,Government,Canada,Secondary importance,Secondary importance,Tertiary importance,Secondary importance,Not applicable,Secondary importance,Primary importance,0.5,"Often (e.g., quarterly)","Often (e.g., quarterly)",Infrequently,Infrequently,Only if I'm working on a project that requires me to do so.,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Important,Important,Important,Important,Not important,Not important,Somewhat important,Somewhat important,,Beginning- getting a project/idea off the ground,"Due to overstretched staff, it is difficult to find capacity at the First Nation government, provincial government, and local government level to get yet another project going, no matter its importance.  Everyone is already wearing multiple hats and doing their best to stay float.",Nationally grant-funded municipal urban tree planting; 1 year; municipal employees and Tree Canada ,"Successful implementation (on the ground change or improvement);Media attention or recognition;Community engagement or recognition (event participation, increased visitation, awards);",Not important,Important,Very important,Not important,Very important,,Greater staff networking and availability,2,Easier reporting requirements on grant funding opportunities,4
15,9-15-23 15:00:56,9-15-23 15:08:47,anonymous,Practictioner,Government,Canada,Primary importance,Primary importance,Primary importance,Tertiary importance,Tertiary importance,Tertiary importance,,2,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)",Infrequently,"Very often (e.g., weekly to monthly)",Academia / Research,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Somewhat important,Very important,Somewhat important,Not important,Not important,Somewhat important,Not important,Important,management / non-scientists do not understand the science or value of science in applying policy as they do not have science backgrounds and instead humanities-type backgrounds ;,Beginning- getting a project/idea off the ground,Frustrating. There is a lot of improvement that could be made regarding protection of the urban forest and improvement of parks & naturalized parks but management will not listen to researchers or engage with them effectively,"A pest management plan - researchers helped design it, but ultimately it was not what managers wanted so the project was scrapped, though it would have been an effective tool for both company and the public","Successful implementation (on the ground change or improvement);Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,get more researchers in gov't and less politicians ,"greater understanding of ecology, biology and ecosystem health",2,,
16,9-15-23 12:50:27,9-15-23 22:52:58,anonymous,Practictioner,Non-Governmental Organization (NGO),Canada,Primary importance,Primary importance,Secondary importance,Primary importance,Secondary importance,Secondary importance,,25,Infrequently,"Often (e.g., quarterly)","Often (e.g., quarterly)","Often (e.g., quarterly)",Yes,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Important,Very important,Very important,Important,Very important,Important,Important,Somewhat important,lack of expertise of people working in urban nature work;,Beginning- getting a project/idea off the ground,,,"Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Media attention or recognition;Community engagement or recognition (event participation, increased visitation, awards);",Very important,Very important,Very important,,Very important,,CONTINUOUS ENGAGEMENT NOT AD HOC COLLABS,3,REALIZATION THAT PROJECTS SHOULD BE CROSS-SECTORAL AND NEED TIME TO INCORPORATE PERSPECTIVES,3
17,9-17-23 21:48:35,9-17-23 21:53:42,anonymous,Management,Government,Canada,Primary importance,Primary importance,Secondary importance,Secondary importance,Tertiary importance,Secondary importance,Not applicable,23,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)",Infrequently,"Very often (e.g., weekly to monthly)",Academia,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Important,Somewhat important,Important,Important,Somewhat important,Not important,Not important,Not important,,Beginning- getting a project/idea off the ground,Lack of resources to move project forward,"Disaster Mitgation and Adaption Fund application to Infrastructure Canada, support from public health and conservation authority","Successful implementation (on the ground change or improvement);Future funding opportunities (grant application);Community engagement or recognition (event participation, increased visitation, awards);",Very important,Important,Important,Not important,Not important,,More staffing resources,1,Competing priorities amongst sectors,2
18,9-18-23 8:50:49,9-18-23 9:15:38,anonymous,Practictioner,Indigenous Government,Canada,Primary importance,Primary importance,Tertiary importance,Secondary importance,Tertiary importance,Tertiary importance,Not applicable,5,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",No,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Not important,Not important,Not important,Not important,Somewhat important,Not important,Important,Data sharing policies (community might not want to share/collaborate. Especially a problem with academia.;,"Middle- actively working together, maintaining momentum, logistical issues",Issues with different internal policies can arise and not get resolved here and project loses momentum. Federal collaboration is more hands-off and less of an issue. ,"Enhanced Maritime Situational Awareness Program, 5 years, Indigenous Governments, Federal Government, Industry, NGOs","Successful implementation (on the ground change or improvement);Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Not applicable,Very important,Very important,Not important,Important,"Agile project. Frequent ongoing engagement. Flexible end goals, as long as improvements were being made that was a success. Different partners had different levels of success but this did not effects the project (everyone works at their own pace). ",Flexible funding so partners can work around different organizational policies/requirements. Not forcing project into a certain direction or stalling it because a funding requirement needs to be met.  ,4,Frequent collaboration and equal time spent on the project,3
19,9-18-23 9:48:37,9-18-23 10:00:37,anonymous,Management,Government,Canada,Primary importance,Primary importance,Not applicable,Not applicable,Not applicable,Not applicable,,8,Infrequently,"Very often (e.g., weekly to monthly)","Often (e.g., quarterly)",Infrequently,p0licy and practitioner,"Federal (for example, 2 Billion tree program, nature-smart climate solution fund)",Very important,Important,Important,Not important,Not important,Not applicable,Not applicable,Not applicable,,"Middle- actively working together, maintaining momentum, logistical issues","priorities change, funding lapses",Tree plantings involving federal government and Not for profit organizations ,"Successful implementation (on the ground change or improvement);Community engagement or recognition (event participation, increased visitation, awards);",Not applicable,Very important,Very important,,Very important,Capacity in terms of time and people ,dedicated staff for identifying cross sectoral opportunities that supports mandate ,2,,
20,9-18-23 10:11:44,9-18-23 10:30:03,anonymous,Policy,Government,canada,Not applicable,Not applicable,Not applicable,Not applicable,Secondary importance,Primary importance,Not applicable,5,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Never,"Often (e.g., quarterly)",yes,"Provincial (for example, provincial stewardship funds or granting programs, collaboration with provincial biologists)",Very important,Important,Important,Important,Important,Important,Not applicable,Somewhat important,program mandate/ multi agencies;,Beginning- getting a project/idea off the ground,responsibilities between cross-sectoral sometime overlap. ,Navigation obstructions. six months. DFO-TC and Canadian Coast Guard. ,"Successful implementation (on the ground change or improvement);Future funding opportunities (grant application);Media attention or recognition;Policy impact (recommendations, proof of concept, policy change, etc.);Network expansion (broadening your professional network);Community engagement or recognition (event participation, increased visitation, awards);",Very important,Important,Important,Somewhat important,Important,,Less bureaoucratic steps.,3,open talks to regions,4
21,9-18-23 9:56:02,9-18-23 10:56:54,anonymous,Research,Academia ,canada,Primary importance,Secondary importance,,,,,,10,Infrequently,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",Infrequently,yes,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Somewhat important,Somewhat important,Not important,Somewhat important,Not important,Not important,Important,Not applicable,Lobbying by big housing developers ;,"End- finalizing outcomes, deliverables and wrapping up","After ecological survey in green infrastructures where rare species or important ES were found, all the conservation plans proposed are most of the time put aside for development. ","Greening of Hull Island in Gatineau. A 2-yrs project, involving the city, the CREDDO, UQO and local ONG (Capital Nature and Horticité). Tree inventory and diversity analyses were done to propose a greening plan (which was finally done by the green infrastructure managers of the city).","Community engagement or recognition (event participation, increased visitation, awards);Successful implementation (on the ground change or improvement);Policy impact (recommendations, proof of concept, policy change, etc.);",Somewhat important,Very important,Somewhat important,Not important,Important,,"to have (for each city) a cross-sectoral committee/group including municipal councilor, ONG, citizens, researchers and developers to discuss conservation, greening, housing development together and avoid any disappointment and reduce frustration of parties.   ",4,"Recall the laws (e.g. on endangered species, or wetlands) to every parties and apply them with surveillance.",2
22,9-19-23 10:22:58,9-19-23 11:52:43,anonymous,Research,Non-Governmental Organization (NGO),Canada,Secondary importance,Primary importance,Tertiary importance,Tertiary importance,Tertiary importance,Tertiary importance,,20,"Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","I engage often with all these groups, which is why I notice the gaps :)","Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Very important,Important,Not important,Not important,Not important,Not important,Not important,Lack of provincial and federal leadership ;,"Middle- actively working together, maintaining momentum, logistical issues","People are excited for change, but when they hit their own internal barriers, they lose momentum, particularly when a project is a 'side of desk' initiative and there is little outside pressure to complete. ","Greening the Landscape Research Consortium - to improve urban tree establishment  - multi-year (3 years plus now), - involves everyone on the urban tree value chain from nursery growers, substrate suppliers, LAs, CAs, municipal foresters, etc. ","Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Published output (academic paper, report, etc.);Future funding opportunities (grant application);Media attention or recognition;Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);",Important,Very important,Not important,Not important,Somewhat important,Network interactions and desire for greater cross-sectoral connection of all parties involved. ,"Having an urban forestry czar at the provincial or federal level  -  so that the policy, management, implementation, research, etc needs of this group are not ignored. ",2,Funding for municipalities to better understand how they can improve their specifications and what is possible.  A slight change in how they request trees to be management or soil to be amended can compound in benefits. ,5
23,9-19-23 20:40:58,9-19-23 20:53:21,anonymous,Management,Government,Canada,Primary importance,Primary importance,Secondary importance,Primary importance,Primary importance,Secondary importance,,33,"Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)","Very often (e.g., weekly to monthly)",yes to all,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Important,Important,Important,Important,Somewhat important,Not important,Not important,Not important,support from public;,"Middle- actively working together, maintaining momentum, logistical issues","There are lots of great ideas but gathering the necessary people to pull the project together, coordinating schedules, aligning with policy, mandates and timelines often results in the project halting.","NGO received a grant from the provincial government, partnered with municipality (my employer) for deliverables. Additional restoration work was completed with no additional cost to the municipality. Project resulted in staff training, new experiences, and also strengthened relationship between NGO, other partners, and municipality.","Successful implementation (on the ground change or improvement);Future funding opportunities (grant application);Community engagement or recognition (event participation, increased visitation, awards);Network expansion (broadening your professional network);",Very important,Very important,Very important,Not important,Important,awareness and recognition of barriers that other sectors face,support for pursuing partnership projects and being able to offer services to attract partners. Also faster turnaround time for permissions to be received.,3,"issues around liability and risk, faster turnaround for approval",2
24,9-19-23 21:01:22,9-19-23 21:26:46,anonymous,Research,Academia ,Canada,Primary importance,Secondary importance,Tertiary importance,Secondary importance,Primary importance,Secondary importance,Primary importance,15,"Often (e.g., quarterly)","Often (e.g., quarterly)","Very often (e.g., weekly to monthly)","Often (e.g., quarterly)",all are important,"Local municipal (for example, city pollinator protection plan, neighbourhood initiatives)",Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,"lack of awareness and institutional (municipal) support re: Indigenization, reconciliation;",Beginning- getting a project/idea off the ground,Representation is not always inclusive of equity-deserving groups and rights holders,University of Windsor National Urban Park Hub,"Policy impact (recommendations, proof of concept, policy change, etc.);Community engagement or recognition (event participation, increased visitation, awards);Network expansion (broadening your professional network);Successful implementation (on the ground change or improvement);Future funding opportunities (grant application);",Very important,Very important,Very important,Important,Very important,Co-creation and elevation of Indigenous-led stewardship,Elevate Indigenous-led stewardship and co-management,1,"Co-leadership in roles and programming, emphasizing youth training",3
